"","x"
"1484",57924
"1485",57924
"1486",57924
"1487",57924
"1488",57924
"1489",57924
"1490",57924
"1491",57924
"1492",57924
"1493",57924
"1494",57924
"1495",57924
"1496",57924
"1497",57924
"1498",57924
"1499",57924
"1500",57924
"1501",57924
"1502",57924
"1503",57924
"1504",57924
"1505",57924
"1506",57924
"1507",57924
"1508",57924
"1509",57924
"1510",57924
"1511",57924
"1512",57924
"1513",57924
"1514",57924
"1515",57924
"1516",57924
"1517",57924
"1518",57924
"1519",57924
"1520",57924
"1521",57924
"1522",57924
"1523",57924
"1524",57924
"1525",57924
"1526",57924
"1527",57924
"1528",57924
"1529",57924
"1530",57924
"1531",57924
"1532",57924
"1533",57924
"1534",57924
"1535",57924
"1536",57924
"1537",57924
"1538",57924
"1539",57924
"1540",57924
"1541",57924
"1542",57924
"1543",57924
"1544",57924
"1545",57924
"1546",57924
"1547",57924
"1548",57924
"1549",57924
"1550",57924
"1551",57924
"1552",57924
"1553",57924
"1554",57924
"1555",57924
"1556",57924
"1557",57924
"1558",57924
"1559",57924
"1560",57924
"1561",57924
"1562",57924
"1563",57924
"1564",57924
"1565",57924
"1566",57924
"1567",57924
"1568",57924
"1569",57924
"1570",57924
"1571",57924
"1572",57924
"1573",57924
"1574",57924
"1575",57924
"1576",57924
"1577",57924
"1578",57924
"1579",57924
"1580",57924
"1581",57924
"1582",57924
"1583",57924
"1584",57924
"1585",57924
"1586",57924
"1587",57924
"1588",57924
"1589",57924
"1590",57924
"1591",57924
"1592",57924
"1593",57924
"1594",57924
"1595",57924
"1596",57924
"1597",57924
"1598",57924
"1599",57924
"1600",57924
"1601",57924
"1602",57924
"1603",57924
"1604",57924
"1605",57924
"1606",57924
"1607",57924
"1608",57924
"1609",57924
"1610",57924
"1611",57924
"1612",57924
"1613",57924
"1614",57924
"1615",57924
"1616",57924
"1617",57924
"1618",57924
"1619",57924
"1620",57924
"1621",57924
"1622",57924
"1623",57924
"1624",57924
"1625",57924
"1626",57924
"1627",57924
"1628",57924
"1629",57924
"1630",57924
"1631",57924
"1632",57924
"1633",57924
"1634",57924
"1635",57924
"1636",57924
"1637",57924
"1638",57924
"1639",57924
"1640",57924
"1641",57924
"1642",57924
"1643",57924
"1644",57924
"1645",57924
"1646",57924
"1647",57924
"1648",57924
"1649",57924
"1650",57924
"1651",57924
"1652",57924
"1653",57924
"1654",57924
"1655",57924
"1656",57924
"1657",57924
"1658",57924
"1659",57924
"1660",57924
"1661",57924
"1662",57924
"1663",57924
"1664",57924
"1665",57924
"1666",57924
"1667",57924
"1668",57924
"1669",57924
"1670",57924
"1671",57924
"1672",57924
"1673",57924
"1674",57924
"1675",57924
"1676",57924
"1677",57924
"1678",57924
"1679",57924
"1680",57924
"1681",57924
"1682",57924
"1683",57924
"1684",57924
"1685",57924
"1686",57924
"1687",57924
"1688",57924
"1689",57924
"1690",57924
"1691",57924
"1692",57924
"1693",57924
"1694",57924
"1695",57924
"1696",57924
"1697",57924
"1698",57924
"1699",57924
"1700",57924
"1701",57924
"1702",57924
"1703",57924
"1704",57924
"1705",57924
"1706",57924
"1707",57924
"1708",57924
"1709",57924
"1710",57924
"1711",57924
"1712",57924
"1713",57924
"1714",57924
"1715",57924
"1716",57924
"1717",57924
"1718",57924
"1719",57924
"1720",57924
"1721",57924
"1722",57924
"1723",57924
"1724",57924
"1725",57924
"1726",57924
"1727",57924
"1728",57924
"1729",57924
"1730",57924
"1731",57924
"1732",57924
"1733",57924
"1734",57924
"1735",57924
"1736",57924
"1737",57924
"1738",57924
"1739",57924
"1740",57924
"1741",57924
"1742",57924
"1743",57924
"1744",57924
"1745",57924
"1746",57924
"1747",57924
"1748",57924
"1749",57924
"1750",57924
"1751",57924
"1752",57924
"1753",57924
"1754",57924
"1755",57924
"1756",57924
"1757",57924
"1758",57924
"1759",57924
"1760",57924
"1761",57924
"1762",57924
"1763",57924
"1764",57924
"1765",57924
"1766",57924
"1767",57924
"1768",57924
"1769",57924
"1770",57924
"1771",57924
"1772",57924
"1773",57924
"1774",57924
"1775",57924
"1776",57924
"1777",57924
"1778",57924
"1779",57924
"1780",57924
"1781",57924
"1782",57924
"1783",57924
"1784",57924
"1785",57924
"1786",57924
"1787",57924
"1788",57924
"1789",57924
"1790",57924
"1791",57924
"1792",57924
"1793",57924
"1794",57924
"1795",57924
"1796",57924
"1797",57924
"1798",57924
"1799",57924
"1800",57924
"1801",57924
"1802",57924
"1803",57924
"1804",57924
"1805",57924
"1806",57924
"1807",57924
"1808",57924
"1809",57924
"1810",57924
"1811",57924
"1812",57924
"1813",57924
"1814",57924
"1815",57924
"1816",57924
"1817",57924
"1818",57924
"1819",57924
"1820",57924
"1821",57924
"1822",57924
"1823",57924
"1824",57924
"1825",57924
"1826",57924
"1827",57924
"1828",57924
"1829",57924
"1830",57924
"1831",57924
"1832",57924
"1833",57924
"1834",57924
"1835",57924
"1836",57924
"1837",57924
"1838",57924
"1839",57924
"1840",57924
"1841",57924
"1842",57924
"1843",57924
"1844",57924
"1845",57924
"1846",57924
"1847",57924
"1848",57924
"1849",57924
"1850",57924
"1851",57924
"1852",57924
"1853",57924
"1854",57924
"1855",57924
"1856",57924
"1857",57924
"1858",57924
"1859",57924
"1860",57924
"1861",57924
"1862",57924
"1863",57924
"1864",57924
"1865",57924
"1866",57924
"1867",57924
"1868",57924
"1869",57924
"1870",57924
"1871",57924
"1872",57924
"1873",57924
"1874",57924
"1875",57924
"1876",57924
"1877",57924
"1878",57924
"1879",57924
"1880",57924
"1881",57924
"1882",57924
"1883",57924
"1884",57924
"1885",57924
"1886",57924
"1887",57924
"1888",57924
"1889",57924
"1890",57924
"1891",57924
"1892",57924
"1893",57924
"1894",57924
"1895",57924
"1896",57924
"1897",57924
"1898",57924
"1899",57924
"1900",57924
"1901",57924
"1902",57924
"1903",57924
"1904",57924
"1905",57924
"1906",57924
"1907",57924
"1908",57924
"1909",57924
"1910",57924
"1911",57924
"1912",57924
"1913",57924
"1914",57924
"1915",57924
"1916",57924
"1917",57924
"1918",57924
"1919",57924
"1920",57924
"1921",57924
"1922",57924
"1923",57924
"1924",57924
"1925",57924
"1926",57924
"1927",57924
"1928",57924
"1929",57924
"1930",57924
"1931",57924
"1932",57924
"1933",57924
"1934",57924
"1935",57924
"1936",57924
"1937",57924
"1938",57924
"1939",57924
"1940",57924
"1941",57924
"1942",57924
"1943",57924
"1944",57924
"1945",57924
"1946",57924
"1947",57924
"1948",57924
"1949",57924
"1950",57924
"1951",57924
"1952",57924
"1953",57924
"1954",57924
"1955",57924
"1956",57924
"1957",57924
"1958",57924
"1959",57924
"1960",57924
"1961",57924
"1962",57924
"1963",57924
"1964",57924
"1965",57924
"1966",57924
"1967",57924
"1968",57924
"1969",57924
"1970",57924
"1971",57924
"1972",57924
"1973",57924
"1974",57924
"1975",57924
"1976",57924
"1977",57924
"1978",57924
"1979",57924
"1980",57924
"1981",57924
"1982",57924
"1983",57924
"1984",57924
"1985",57924
"1986",57924
"1987",57924
"1988",57924
"1989",57924
"1990",57924
"1991",57924
"1992",57924
"1993",57924
"1994",57924
