"","x"
"638",6303.2
"639",6316.6
"640",6567
"641",6712.7
"642",6511.5
"643",6840.9
"644",6824.1
"645",7936.1
"646",6838.8
"647",3864.1
"648",4659.8
"649",4341.5
"650",3873.1
"651",4080.5
"652",1460.7
"653",3679.2
"654",2559.8
"655",3549.2
"656",3562.3
"657",4251.4
"658",895.8
"659",1599.8
"660",1514.1
"661",1521.6
"662",964.4
"663",469.5
"664",2237
"665",16631.5
"666",8151.9
"667",9150.4
"668",7613.2
"669",23879.1
"670",4607.1
"671",5900.6
"672",6775.5
"673",11087
"674",5888.4
"675",10422.8
"676",10440.2
"677",3210.2
"678",4744.2
"679",3728.9
"680",4722.7
"681",7517.7
"682",5466.7
"683",4432.9
"684",764.2
"685",5463
"686",6683.3
"687",31187
"688",9374.6
"689",3665.1
"690",64611.2
"691",15224.3
"692",6099.7
"693",6070.2
"694",7500.8
"695",4892.3
"696",1495.8
"697",1904.8
"698",9773.9
"699",9552.4
"700",2813.9
"701",5089.5
"702",3034.5
"703",1155.7
"704",393.5
"705",3049.9
"706",15189.1
"707",6491
"708",1780.2
"709",10068.8
"710",6198.2
"711",3014.8
"712",5386.7
"713",5386.7
"714",2575.9
"715",1872.3
"716",6271.9
"717",3015.5
"718",5542.6
"719",5029.7
"720",5892.1
"721",5234.6
"722",10165.5
"723",9223.3
"724",349.9
"725",539.2
"726",220.7
"727",369
"728",1796.4
"729",5324.3
"730",5278
"731",1054.6
"732",1096.9
"733",6008.3
"734",7259.9
"735",8912.9
"736",422
"737",503.8
"738",1122.2
"739",5968.9
"740",4606
"741",9563.8
"742",9318
"743",10466.9
"744",527.1
"745",538.4
"746",458.4
"747",1031.1
"748",4953
"749",886
"750",1031.8
"751",1797.6
"752",4576.2
"753",5064.6
"754",7539.2
"755",8236.4
"756",8890.7
"757",11034.6
"758",7333.4
"759",6737.5
"760",1789.1
"761",5670.4
"762",5764.6
"763",7292.3
"764",8831.1
"765",12049.4
"766",6916.2
"767",3913.9
"768",1933.4
"769",4122.8
"770",4729.5
"771",5661.1
"772",5430.8
"773",5170.6
"774",1308.7
"775",2354.8
"776",4239
"777",4175
"778",5778.4
"779",3558.1
"780",14316.5
"781",1779.7
"782",2788.4
"783",5984.2
"784",7619
"785",7995.4
"786",6943
"787",2806.5
"788",3774.5
"789",3774.5
"790",3777.8
"791",3836.8
"792",3732.5
"793",3779.3
"794",5658.5
"795",5472.6
"796",9075.1
"797",12311.1
"798",5908.4
"799",6802.4
"800",8560
"801",2975.2
"802",3288.8
"803",5504.3
"804",5650
"805",40656.8
"806",7980.1
"807",5705.9
"808",6430.2
"809",8724.5
"810",8792.8
"811",6775.8
"812",6364
"813",6285.3
"814",0
"815",44.6
"816",7665.8
"817",7917.7
"818",9287.3
"819",6979
"820",38243.1
"821",50191.6
"822",6385.6
"823",4645.6
"824",2623.4
"825",804
"826",615
"827",130.9
"828",5997.8
"829",1259.9
"830",10145.3
"831",10145.3
"832",619.9
"833",2521.1
"834",8986.1
"835",4276.3
"836",6027.6
"837",275.3
"838",1491
"839",7683.9
"840",126
"841",6192.2
"842",8084.5
"843",16617.6
"844",24653.5
"845",5259.4
"846",5479.1
"847",3619.3
"848",7681.8
"849",2190.2
"850",0
"851",5505.7
"852",3458
"853",33348.4
"854",7687.7
"855",445
"856",681.4
"857",3710.2
"858",1860.9
"859",359.2
"860",5554.1
"861",1632.4
"862",4858.3
"863",305.9
"864",337.3
"865",392.9
"866",1314.5
"867",9252.2
"868",3732
"869",3465.3
"870",4504.2
"871",1327.9
"872",1292.5
"873",6586.4
"874",4817.5
"875",5319.2
"876",4409.1
"877",5511.9
"878",5075.8
"879",5047.9
"880",4420.7
"881",4378.4
"882",4201.2
"883",4427.6
"884",4559.2
"885",4233.2
"886",4415.3
"887",3357.6
"888",2551.1
"889",4650
"890",6836.5
"891",5990.8
"892",9912.9
"893",6706.3
"894",9419.4
"895",8697.5
"896",8554.4
"897",5651.3
"898",7474.9
"899",9290.9
"900",10775.3
"901",9283.1
"902",9569.5
"903",9128.1
"904",8906.9
"905",8471.5
"906",15689.4
"907",34777.8
"908",37010.3
"909",4360.3
"910",3970.5
"911",3938.5
"912",3953.6
"913",5607.2
"914",3710.6
"915",3765.8
"916",3650.6
"917",3420.8
"918",3876.8
"919",4247.5
"920",3286.5
"921",3990.6
"922",3375.7
"923",4187.4
"924",3671.3
"925",4107.6
"926",6541.9
"927",4402.9
"928",3361.7
"929",5941.8
"930",6504.9
"931",2905.9
"932",5105.6
"933",5034.9
"934",1918.6
"935",1949.2
"936",5114.7
"937",5583.5
"938",10321.2
"939",11225.7
"940",2999.4
"941",4092.6
"942",4926.2
"943",5336
"944",5797.8
"945",5640.8
"946",5357.6
"947",8411.4
"948",6611.5
"949",9001.7
"950",7050.4
"951",8374.7
"952",7694.4
"953",10093.5
"954",7003.1
"955",7055.6
"956",8258.1
"957",7351.9
"958",6168.1
"959",5018.5
"960",7526.4
"961",7262.5
"962",6966.5
"963",6980.8
"964",8557.7
"965",7895.4
"966",6088.9
"967",6803.8
"968",6802.4
"969",5081
"970",5070.5
"971",6247.3
"972",4629.2
"973",23510.5
"974",14608.2
"975",12393.4
"976",8949.6
"977",5423.6
"978",1732.9
"979",1616.6
"980",8552.1
"981",3913.4
"982",1727.1
"983",1846
"984",1019.7
"985",5597.2
"986",4111.2
"987",5444.4
"988",9318.6
"989",10001
"990",9998.1
"991",9623.1
"992",8953.6
"993",7862.7
"994",10475.4
"995",11353.5
"996",10590
"997",10636.6
"998",10231.2
"999",10058.1
"1000",11126
"1001",8641.8
"1002",7795.5
"1003",9691.9
"1004",10170.6
"1005",9346.6
"1006",11554.7
"1007",11717.1
"1008",10767.5
"1009",10863.9
"1010",10310.8
"1011",8747.2
"1012",5562.9
"1013",8109.1
"1014",8039
"1015",8256.7
"1016",9604.7
"1017",5707.1
"1018",4751
"1019",4857.8
"1020",4357.4
"1021",4586.6
"1022",4132.5
"1023",4748.8
"1024",4323
"1025",1668.9
"1026",1848.7
"1027",926.3
"1028",1324.7
"1029",1034.4
"1030",1847
"1031",2164.4
"1032",1565.1
"1033",2685.1
"1034",2702.1
"1035",2418.8
"1036",1939.1
"1037",1620.9
"1038",2527.5
"1039",1668.5
"1040",2118.5
"1041",1739.9
"1042",1638.9
"1043",1627.9
"1044",1725.6
"1045",1974.1
"1046",1769.4
"1047",1684.4
"1048",2968.6
"1049",1364.5
"1050",2243.8
"1051",3894.1
"1052",3257
"1053",3409.5
"1054",3495.8
"1055",4253.3
"1056",4859.4
"1057",4107.3
"1058",4173.9
"1059",4615.1
"1060",4339
"1061",2275.4
"1062",2246.2
"1063",4707.6
"1064",4800.9
"1065",8896.5
"1066",8376.8
"1067",9377.2
"1068",6575.4
"1069",5278.7
"1070",7061.5
"1071",6669
"1072",7778
"1073",4844.8
"1074",8619.9
"1075",9424.1
"1076",11545.5
"1077",5684
"1078",4825.1
"1079",5388.9
"1080",8008.4
"1081",9540.8
"1082",7282.6
"1083",12485.1
"1084",9031
"1085",8556.2
"1086",6914.9
"1087",3189.2
"1088",1445.4
"1089",2404.1
"1090",3269.3
"1091",3129.2
"1092",7815.1
"1093",5838.7
"1094",7846.7
"1095",73866.3
"1096",4888.7
"1097",128.6
"1098",103
"1099",128.6
"1100",1166.2
"1101",1032.5
"1102",2911.2
"1103",2473.1
"1104",1095.1
"1105",639.7
"1106",1052.6
"1107",1156.1
"1108",620.2
"1109",4018.5
"1110",5078.4
"1111",6035.6
"1112",1879
"1113",3921.5
"1114",1191.1
"1115",909.4
"1116",940.2
"1117",1518.6
"1118",6587.2
"1119",5292.3
"1120",4676.4
"1121",4863.6
"1122",5329.5
"1123",4879.1
"1124",117.1
"1125",336
"1126",192.9
"1127",1187.1
"1128",6316.5
"1129",4760.1
"1130",4045
"1131",2630.9
"1132",9608
"1133",4252.9
"1134",3435.3
"1135",3245.9
"1136",3331.6
"1137",1071.8
"1138",961.8
"1139",659.8
"1140",509.3
"1141",190
"1142",655.9
"1143",1129.9
"1144",1227.4
"1145",1203.2
"1146",4246.5
"1147",5774.7
"1148",7854.4
"1149",7591.8
"1150",6643.6
"1151",7362.2
"1152",1026.9
"1153",999.4
"1154",6302.1
"1155",6651.2
"1156",6783.8
"1157",6955.7
"1158",5989.7
"1159",5228
"1160",5964.8
"1161",4931.8
"1162",4694.4
"1163",3221.7
"1164",3936.4
"1165",1023.7
"1166",4354.9
"1167",6245.7
"1168",5234.5
"1169",323.9
"1170",151.9
"1171",8586.2
"1172",1686.7
"1173",4317.9
"1174",6790.4
"1175",6472
"1176",1337
"1177",1194.1
"1178",5721.3
"1179",6569.8
"1180",4037.5
"1181",2023.4
"1182",4519.8
"1183",5608.8
"1184",4855.7
"1185",5047
"1186",3930.1
"1187",6692.2
"1188",6035.8
"1189",562
"1190",5772.7
"1191",5520
"1192",5037.4
"1193",5519
"1194",6923.7
"1195",6361
"1196",7894.1
"1197",6777.4
"1198",3697.9
"1199",3809.7
"1200",7994.9
"1201",8248.6
"1202",8520.8
"1203",7540.3
"1204",3212.5
"1205",2214.5
"1206",4373.1
"1207",2420.7
"1208",4336.4
"1209",7439.2
"1210",8878.3
"1211",7822
"1212",9462.7
"1213",5417
"1214",6248.5
"1215",8008.9
"1216",9252.5
"1217",5220.8
"1218",5186.5
"1219",8264.5
"1220",11000.4
"1221",5802
"1222",4013.4
"1223",5543.2
"1224",7419.9
"1225",5883.8
"1226",5731.5
"1227",6187.2
"1228",6469.5
"1229",7260.5
"1230",6152.4
"1231",10219.6
"1232",11136.8
"1233",8806.6
"1234",5810.6
"1235",5910.1
"1236",8744.7
"1237",7865.8
"1238",6357
"1239",6624.3
"1240",8082.9
"1241",16834
"1242",18018.6
"1243",3860.1
"1244",6003.1
"1245",1672.8
"1246",5804.3
"1247",69662.9
"1248",60368.4
"1249",2963.3
"1250",8533.6
"1251",8533.6
"1252",8383.4
"1253",8432.7
"1254",12616.3
"1255",7726.3
"1256",10446.3
"1257",6654.7
"1258",8757.2
"1259",8495.2
"1260",6784.3
"1261",8343.1
"1262",9491
"1263",15133.2
"1264",8503.7
"1265",15525.8
"1266",14783.6
"1267",15412.3
"1268",12627.2
"1269",6061.1
"1270",6748.9
"1271",18403.3
"1272",9510.6
"1273",7427.2
"1274",6329.9
"1275",6521.1
"1276",3887
"1277",3112.7
"1278",2583.6
"1279",2550.7
"1280",2525.6
"1281",4110.8
"1282",3553.8
"1283",5667.6
"1284",5802.7
"1285",5838.9
"1286",8858.9
"1287",5782.6
"1288",6536.6
"1289",7184.5
"1290",6751.1
"1291",4139.2
"1292",2772.3
"1293",1701.3
"1294",4733.5
"1295",6863.7
"1296",7981.1
"1297",3275.4
"1298",4053.9
"1299",421.2
"1300",417.8
"1301",395.3
"1302",429.2
"1303",5894.1
"1304",122.5
"1305",9702.5
"1306",10211.8
"1307",11276.2
"1308",3100.4
"1309",6121.3
"1310",1472.7
"1311",11911.1
"1312",6407
"1313",6338.5
"1314",21451.2
"1315",23560.4
"1316",8514.7
"1317",6387.5
"1318",11070
"1319",14469.6
"1320",1499.2
"1321",865.9
"1322",3926.3
"1323",8692.7
"1324",5336.8
"1325",8893.5
"1326",7905
"1327",16516.1
"1328",45452.1
"1329",12056.7
"1330",11078.6
"1331",10220.9
"1332",26978.5
"1333",17833.8
"1334",21506.1
"1335",12198.2
"1336",9416.5
"1337",808.1
"1338",8980.8
"1339",9784.9
"1340",9493.9
"1341",7204.6
"1342",10577
"1343",6082.1
"1344",6043.6
"1345",42704.3
"1346",3474.3
"1347",1186
"1348",9418.5
"1349",6337.1
"1350",1222.4
"1351",8295.6
"1352",11571.8
"1353",7163.4
"1354",13279.5
"1355",1052.1
"1356",7264.5
"1357",683.7
"1358",1250.5
"1359",1213.9
"1360",786.2
"1361",1137.9
"1362",806
"1363",7141.1
"1364",774.4
"1365",3461.3
"1366",7248.2
"1367",6666
"1368",6866.2
"1369",8590.6
"1370",11214.2
"1371",6650.2
"1372",9423.1
"1373",7231.3
"1374",12127.5
"1375",6917
"1376",7436.8
"1377",2664.2
"1378",6618.5
"1379",7960.5
"1380",5249.4
"1381",6877.7
"1382",6142
"1383",6783.7
"1384",7818.9
"1385",7216.8
"1386",8370.6
"1387",7052.7
"1388",7462.6
"1389",7485.3
"1390",7365.1
"1391",5522.1
"1392",5547.1
"1393",7897.5
"1394",6813.8
"1395",4808
"1396",4945.7
"1397",5147.5
"1398",4583.3
"1399",3411.8
"1400",3877.7
"1401",3946
"1402",3444.2
"1403",1893.5
"1404",5193.5
"1405",3759.1
"1406",3880.2
"1407",4256.9
"1408",4202.7
"1409",9118.7
"1410",3565.4
"1411",4088.4
"1412",3458.5
"1413",1482
"1414",14746.5
"1415",748.9
"1416",9756.9
"1417",4390.3
"1418",9326.3
"1419",4870
"1420",8871
"1421",8373.9
"1422",10243.1
"1423",3782.4
"1424",14215.6
"1425",97.4
"1426",141.4
"1427",449.6
"1428",221.1
"1429",202.8
"1430",1033.1
"1431",954.8
"1432",9151.7
"1433",876.9
"1434",3448.4
"1435",6221.8
"1436",5048.4
"1437",649.1
"1438",1401
"1439",5271.9
"1440",4205.9
"1441",8780
"1442",7524.8
"1443",7942.6
"1444",7910
"1445",9651.1
"1446",6654.6
"1447",7908.1
"1448",2884.9
"1449",14451.2
"1450",8852.2
"1451",8103.1
"1452",6906.7
"1453",8715.6
"1454",10157
"1455",9566.4
"1456",9907.7
"1457",7997.4
"1458",7273.3
"1459",7340.7
"1460",7859.4
"1461",6726.7
"1462",7448.1
"1463",9002.8
"1464",9885.8
"1465",10487.2
"1466",12028.9
"1467",5205.6
"1468",5532.3
"1469",5133.3
"1470",2958.3
"1471",5408
"1472",9255.9
"1473",8565.6
"1474",8889.6
"1475",5494
"1476",9356.7
"1477",10909
"1478",3182.2
"1479",2436.2
"1480",3866.3
"1481",3869.9
"1482",4873.8
"1483",3404.3
"1484",4767.8
"1485",4897.7
"1486",8587.7
"1487",8561.3
"1488",11968.2
"1489",14738.1
"1490",4329.5
"1491",3076.8
"1492",3319.2
"1493",8366.7
"1494",8709.7
"1495",9158.3
"1496",3907.9
"1497",6508.9
"1498",7180.6
"1499",12168.4
"1500",7789
"1501",11059.4
"1502",13939.8
"1503",21345.3
"1504",2527.1
"1505",2439
"1506",791.3
"1507",668
"1508",239.3
"1509",631.7
"1510",631.9
"1511",4527.3
"1512",3914.1
"1513",3921.4
"1514",3708
"1515",550.3
"1516",485.3
"1517",215
"1518",392.3
"1519",513
"1520",6324.3
"1521",12749.3
"1522",11040.3
"1523",6888
"1524",6143.5
"1525",12776.6
"1526",11065.4
"1527",15139.3
"1528",7825
"1529",10447.5
"1530",9201.4
"1531",10601.1
"1532",39270.7
"1533",42430.8
"1534",67740.8
"1535",7880.1
"1536",6526.2
"1537",6606.7
"1538",4273.1
"1539",4816.6
"1540",4482.6
"1541",4479.3
"1542",6964.5
"1543",3688.6
"1544",5659.3
"1545",10199.2
"1546",7510.6
"1547",5398.6
"1548",4116.5
"1549",6286.5
"1550",5456.1
"1551",8004.3
"1552",7388.4
"1553",4688.6
"1554",13656.2
"1555",12550.3
"1556",16665.7
"1557",14281.4
"1558",4824.8
"1559",7143.7
"1560",8620.2
"1561",8388.5
"1562",6934.4
"1563",8160.7
"1564",8308.9
"1565",8791.5
"1566",6121.5
"1567",4621.9
"1568",4759.2
"1569",11934
"1570",9249.9
"1571",9905.4
"1572",4808
"1573",1653.5
"1574",6550.9
"1575",10393.8
"1576",8339.5
"1577",9767.3
"1578",9495.4
"1579",9426.9
"1580",6926.3
"1581",8152.8
"1582",7366.8
"1583",6037.5
"1584",7914.4
"1585",9649.4
"1586",9822.1
"1587",13683.7
"1588",11402.8
"1589",6892.5
"1590",8561.5
"1591",7687.7
"1592",4040.1
"1593",1977.3
"1594",51909.5
"1595",6446.8
"1596",914.1
"1597",3298.3
"1598",5941.4
"1599",12168.6
"1600",5329.2
"1601",6313.1
"1602",8450.4
"1603",4921.9
"1604",4203.8
"1605",6060.3
"1606",7006.1
"1607",7458.4
"1608",11896.9
"1609",9089.3
"1610",6850.6
"1611",3123.8
"1612",4116.5
"1613",5275
"1614",7324.9
"1615",7917
"1616",7388.4
"1617",7634
"1618",10359.2
"1619",7937.8
"1620",10490.9
"1621",8346.4
"1622",9404.4
"1623",10219.1
"1624",10094.3
"1625",9546.2
"1626",8941.8
"1627",486.5
"1628",609.6
"1629",1033.1
"1630",3684.1
"1631",4669.3
"1632",4160.7
"1633",4664.9
"1634",24994.8
"1635",7076.6
"1636",9542.8
"1637",9141.4
"1638",15401.7
"1639",15838
"1640",6893.9
"1641",4855.5
"1642",23977.1
"1643",22958.6
"1644",20717.5
"1645",19132
"1646",8261.4
"1647",8344
"1648",6691.2
"1649",11424.7
"1650",4348.8
"1651",13774.3
"1652",13138.8
"1653",1776.5
"1654",2087.3
"1655",4251.9
"1656",4275.2
"1657",4447.3
"1658",7035.3
"1659",7642.2
"1660",5115.3
"1661",8831.5
"1662",3953.3
"1663",4064
"1664",3138.5
"1665",6443.1
"1666",3905.7
"1667",5472.7
"1668",5112.1
"1669",5116
"1670",5247.8
"1671",3376
"1672",3328.9
"1673",6384.2
"1674",4610.1
"1675",4213.5
"1676",3220.4
"1677",4271.2
"1678",8227.9
"1679",7834.5
"1680",8041.7
"1681",7489
"1682",6726.6
"1683",8632.3
"1684",11400
"1685",12170
"1686",7129.4
"1687",7318.5
"1688",7200.3
"1689",9142.2
"1690",5467.4
"1691",9078.4
"1692",9253.5
"1693",8523.4
"1694",758.5
"1695",906.5
"1696",1481.1
"1697",5272.1
"1698",12083.3
"1699",6670.4
"1700",5251.9
"1701",5232.1
"1702",6512.5
"1703",5009.4
"1704",15166.9
"1705",2068.8
"1706",3554.2
"1707",3780.9
"1708",3853.5
"1709",8517.2
"1710",11651.4
"1711",1280.1
"1712",1198.2
"1713",966.8
"1714",946.6
"1715",9825.7
"1716",959
"1717",1390.3
"1718",1289.7
